"title","rental_rate","rental_rate_category"
"Sierra Divide","0.99","Low"
"Silence Kane","0.99","Low"
"Silverado Goldfinger","4.99","High"
"Simon North","0.99","Low"
"Sinners Atlantis","2.99","Medium"
"Sister Freddy","4.99","High"
"Sky Miracle","2.99","Medium"
"Slacker Liaisons","4.99","High"
"Sleeping Suspects","4.99","High"
"Sleepless Monsoon","4.99","High"
"Sleepy Japanese","2.99","Medium"
"Sleuth Orient","0.99","Low"
"Sling Luke","0.99","Low"
"Slipper Fidelity","0.99","Low"
"Slums Duck","0.99","Low"
"Smile Earring","2.99","Medium"
"Smoking Barbarella","0.99","Low"
"Smoochy Control","0.99","Low"
"Snatch Slipper","4.99","High"
"Snatchers Montezuma","2.99","Medium"
"Snowman Rollercoaster","0.99","Low"
"Soldiers Evolution","4.99","High"
"Something Duck","4.99","High"
"Song Hedwig","0.99","Low"
"Sons Interview","2.99","Medium"
"Sorority Queen","0.99","Low"
"Soup Wisdom","0.99","Low"
"South Wait","2.99","Medium"
"Spartacus Cheaper","4.99","High"
"Speakeasy Date","2.99","Medium"
"Speed Suit","4.99","High"
"Spice Sorority","4.99","High"
"Spiking Element","2.99","Medium"
"Spinal Rocky","2.99","Medium"
"Spirit Flintstones","0.99","Low"
"Spirited Casualties","0.99","Low"
"Splash Gump","0.99","Low"
"Splendor Patton","0.99","Low"
"Spoilers Hellfighters","0.99","Low"
"Spy Mile","2.99","Medium"
"Squad Fish","2.99","Medium"
"Stage World","2.99","Medium"
"Stagecoach Armageddon","4.99","High"
"Stallion Sundance","0.99","Low"
"Stampede Disturbing","0.99","Low"
"Star Operation","2.99","Medium"
"State Wasteland","2.99","Medium"
"Steel Santa","4.99","High"
"Steers Armageddon","4.99","High"
"Stepmom Dream","4.99","High"
"Sting Personal","4.99","High"
"Stock Glass","2.99","Medium"
"Stone Fire","0.99","Low"
"Storm Happiness","0.99","Low"
"Story Side","0.99","Low"
"Straight Hours","0.99","Low"
"Strangelove Desire","0.99","Low"
"Stranger Strangers","4.99","High"
"Tights Dawn","0.99","Low"
"Strangers Graffiti","4.99","High"
"Streak Ridgemont","0.99","Low"
"Streetcar Intentions","4.99","High"
"Strictly Scarface","2.99","Medium"
"Submarine Bed","4.99","High"
"Sugar Wonka","4.99","High"
"Suicides Silence","4.99","High"
"Suit Walls","4.99","High"
"Summer Scarface","0.99","Low"
"Sun Confessions","0.99","Low"
"Sundance Invasion","0.99","Low"
"Sunrise League","4.99","High"
"Sunset Racer","0.99","Low"
"Super Wyoming","4.99","High"
"Superfly Trip","0.99","Low"
"Suspects Quills","2.99","Medium"
"Swarm Gold","0.99","Low"
"Sweden Shining","4.99","High"
"Timberland Sky","0.99","Low"
"Sweet Brotherhood","2.99","Medium"
"Sweethearts Suspects","0.99","Low"
"Tadpole Park","2.99","Medium"
"Talented Homicide","0.99","Low"
"Tarzan Videotape","2.99","Medium"
"Taxi Kick","0.99","Low"
"Teen Apollo","4.99","High"
"Telegraph Voyage","4.99","High"
"Telemark Heartbreakers","2.99","Medium"
"Temple Attraction","4.99","High"
"Tenenbaums Command","0.99","Low"
"Tequila Past","4.99","High"
"Terminator Club","4.99","High"
"Texas Watch","0.99","Low"
"Theory Mermaid","0.99","Low"
"Thief Pelican","4.99","High"
"Thin Sagebrush","4.99","High"
"Ties Hunger","4.99","High"
"Titanic Boondock","4.99","High"
"Titans Jerk","4.99","High"
"Tomatoes Hellfighters","0.99","Low"
"Tomorrow Hustler","2.99","Medium"
"Tootsie Pilot","0.99","Low"
"Torque Bound","4.99","High"
"Tourist Pelican","4.99","High"
"Towers Hurricane","0.99","Low"
"Town Ark","2.99","Medium"
"Tracy Cider","0.99","Low"
"Trading Pinocchio","4.99","High"
"Traffic Hobbit","4.99","High"
"Train Bunch","4.99","High"
"Trainspotting Strangers","4.99","High"
"Tramp Others","0.99","Low"
"Translation Summer","0.99","Low"
"Trap Guys","4.99","High"
"Treasure Command","0.99","Low"
"Treatment Jekyll","0.99","Low"
"Trip Newton","4.99","High"
"Trojan Tomorrow","2.99","Medium"
"Troopers Metal","0.99","Low"
"Trouble Date","2.99","Medium"
"Truman Crazy","4.99","High"
"Turn Star","2.99","Medium"
"Tuxedo Mile","2.99","Medium"
"Twisted Pirates","4.99","High"
"Tycoon Gathering","4.99","High"
"Unbreakable Karate","0.99","Low"
"Uncut Suicides","2.99","Medium"
"Undefeated Dalmations","4.99","High"
"Unfaithful Kill","2.99","Medium"
"Unforgiven Zoolander","0.99","Low"
"United Pilot","0.99","Low"
"Untouchables Sunrise","2.99","Medium"
"Uprising Uptown","2.99","Medium"
"Uptown Young","2.99","Medium"
"Usual Untouchables","4.99","High"
"Vacation Boondock","2.99","Medium"
"Valentine Vanishing","0.99","Low"
"Valley Packer","0.99","Low"
"Vampire Whale","4.99","High"
"Vanilla Day","4.99","High"
"Vanished Garden","0.99","Low"
"Vanishing Rocky","2.99","Medium"
"Varsity Trip","2.99","Medium"
"Velvet Terminator","4.99","High"
"Vertigo Northwest","2.99","Medium"
"Victory Academy","0.99","Low"
"Videotape Arsenic","4.99","High"
"Vietnam Smoochy","0.99","Low"
"Villain Desperate","4.99","High"
"Virgin Daisy","4.99","High"
"Virginian Pluto","0.99","Low"
"Virtual Spoilers","4.99","High"
"Vision Torque","0.99","Low"
"Voice Peach","0.99","Low"
"Volcano Texas","0.99","Low"
"Volume House","4.99","High"
"Voyage Legally","0.99","Low"
"Wagon Jaws","2.99","Medium"
"Wait Cider","0.99","Low"
"Wake Jaws","4.99","High"
"Walls Artist","4.99","High"
"Wanda Chamber","4.99","High"
"War Notting","4.99","High"
"Wardrobe Phantom","2.99","Medium"
"Warlock Werewolf","2.99","Medium"
"Wars Pluto","2.99","Medium"
"Wash Heavenly","4.99","High"
"Wasteland Divine","2.99","Medium"
"Watch Tracy","0.99","Low"
"Waterfront Deliverance","4.99","High"
"Watership Frontier","0.99","Low"
"Wedding Apollo","0.99","Low"
"Weekend Personal","2.99","Medium"
"Werewolf Lola","4.99","High"
"West Lion","4.99","High"
"Westward Seabiscuit","0.99","Low"
"Whale Bikini","4.99","High"
"Whisperer Giant","4.99","High"
"Wife Turn","4.99","High"
"Wild Apollo","0.99","Low"
"Willow Tracy","2.99","Medium"
"Wind Phantom","0.99","Low"
"Window Side","2.99","Medium"
"Wisdom Worker","0.99","Low"
"Witches Panic","4.99","High"
"Wizard Coldblooded","4.99","High"
"Wolves Desire","0.99","Low"
"Women Dorado","0.99","Low"
"Won Dares","2.99","Medium"
"Wonderful Drop","2.99","Medium"
"Wonderland Christmas","4.99","High"
"Wonka Sea","2.99","Medium"
"Words Hunter","2.99","Medium"
"Worker Tarzan","2.99","Medium"
"Working Microcosmos","4.99","High"
"World Leathernecks","0.99","Low"
"Worst Banger","2.99","Medium"
"Wrath Mile","0.99","Low"
"Wrong Behavior","2.99","Medium"
"Wyoming Storm","4.99","High"
"Yentl Idaho","4.99","High"
"Young Language","0.99","Low"
"Youth Kick","0.99","Low"
"Zhivago Core","0.99","Low"
"Zoolander Fiction","2.99","Medium"
"Zorro Ark","4.99","High"
